"Date","Price","Open","High","Low","Vol.","Change %"
"03/04/2025","5.95","6.01","6.01","5.90","8.74K","-2.30%"
"03/03/2025","6.09","6.09","6.09","6.09","","0.00%"
"02/28/2025","6.09","6.05","6.17","6.05","41.02K","1.50%"
"02/27/2025","6.00","6.00","6.16","6.00","54.53K","0.00%"
"02/26/2025","6.00","6.10","6.11","6.00","30.12K","-0.17%"
"02/25/2025","6.01","6.24","6.24","6.01","12.65K","-0.99%"
"02/24/2025","6.07","6.07","6.07","6.07","","0.00%"
"02/21/2025","6.07","6.20","6.20","6.07","0.10K","0.17%"
"02/20/2025","6.06","6.06","6.06","6.06","1.31K","-0.66%"
"02/19/2025","6.10","6.10","6.19","6.06","8.94K","1.67%"
"02/18/2025","6.00","5.78","6.13","5.78","89.02K","5.26%"
"02/17/2025","5.70","5.71","5.77","5.70","10.07K","0.88%"
"02/14/2025","5.65","5.72","5.80","5.65","42.25K","1.25%"
"02/13/2025","5.58","5.55","5.68","5.55","2.38K","0.54%"
"02/12/2025","5.55","5.55","5.55","5.55","","0.00%"
"02/11/2025","5.55","5.65","5.65","5.50","7.51K","-0.89%"
"02/10/2025","5.60","5.60","5.61","5.59","14.34K","0.00%"
"02/07/2025","5.60","5.60","5.60","5.60","","0.00%"
"02/06/2025","5.60","5.66","5.66","5.59","14.44K","-1.75%"
"02/05/2025","5.70","5.71","5.71","5.65","15.64K","-3.06%"
"02/04/2025","5.88","5.98","5.98","5.75","8.98K","-0.34%"
"02/03/2025","5.90","5.97","5.97","5.80","7.99K","-1.67%"
"01/31/2025","6.00","5.92","6.00","5.90","3.17K","0.17%"
"01/30/2025","5.99","5.95","6.00","5.95","9.90K","-0.99%"
"01/29/2025","6.05","6.05","6.05","5.95","0.70K","1.00%"
"01/28/2025","5.99","5.99","5.99","5.99","","0.00%"
"01/27/2025","5.99","5.95","5.99","5.95","0.21K","0.67%"
"01/24/2025","5.95","6.00","6.00","5.95","7.16K","-4.03%"
"01/23/2025","6.20","6.01","6.20","5.95","11.45K","3.33%"
"01/22/2025","6.00","6.00","6.00","6.00","","0.00%"
"01/21/2025","6.00","6.01","6.04","6.00","4.47K","-1.64%"
"01/20/2025","6.10","6.10","6.10","6.10","","0.00%"
"01/17/2025","6.10","6.00","6.10","6.00","10.17K","0.00%"
"01/16/2025","6.10","6.10","6.10","6.10","","0.00%"
"01/15/2025","6.10","6.10","6.10","6.10","","0.00%"
"01/14/2025","6.10","5.95","6.10","5.95","0.90K","0.00%"
"01/13/2025","6.10","6.10","6.10","6.10","","0.00%"
"01/10/2025","6.10","6.10","6.10","6.10","","0.00%"
"01/09/2025","6.10","6.10","6.10","6.10","0.01K","-0.16%"
"01/08/2025","6.11","6.11","6.11","6.11","","0.00%"
"01/07/2025","6.11","6.11","6.11","6.11","","0.00%"
"01/06/2025","6.11","6.11","6.11","6.11","","0.00%"
"01/03/2025","6.11","6.11","6.11","6.11","","0.00%"
"01/02/2025","6.11","6.11","6.11","6.11","","0.00%"
"12/31/2024","6.11","6.11","6.11","6.11","0.03K","-0.65%"
"12/30/2024","6.15","6.15","6.15","6.15","0.10K","-3.15%"
"12/27/2024","6.35","6.35","6.35","6.35","0.00K","3.25%"
"12/24/2024","6.15","6.15","6.15","6.15","2.50K","0.00%"
"12/23/2024","6.15","6.15","6.15","6.15","0.01K","-0.16%"
"12/20/2024","6.16","6.16","6.16","6.16","0.65K","-0.65%"
"12/19/2024","6.20","6.20","6.20","6.20","","0.00%"
"12/18/2024","6.20","6.20","6.20","6.20","","0.00%"
"12/17/2024","6.20","6.20","6.21","6.20","0.04K","-0.80%"
"12/16/2024","6.25","6.25","6.25","6.25","2.50K","-0.64%"
"12/13/2024","6.29","6.35","6.35","6.29","7.52K","0.16%"
"12/12/2024","6.28","6.32","6.35","6.28","9.43K","-0.32%"
"12/11/2024","6.30","6.35","6.35","6.25","1.84K","-2.93%"
"12/10/2024","6.49","6.32","6.49","6.32","0.00K","1.88%"
"12/09/2024","6.37","6.35","6.38","6.35","3.34K","1.11%"
"12/06/2024","6.30","6.26","6.30","6.25","9.86K","0.48%"
"12/05/2024","6.27","6.20","6.34","6.20","0.82K","0.48%"
"12/04/2024","6.24","6.02","6.24","6.02","3.18K","5.05%"
"12/03/2024","5.94","6.00","6.00","5.94","12.80K","-0.17%"
"12/02/2024","5.95","6.10","6.10","5.95","1.06K","-1.65%"
"11/29/2024","6.05","6.19","6.19","6.05","10.87K","-2.42%"
"11/28/2024","6.20","6.20","6.20","6.20","","0.00%"
"11/27/2024","6.20","6.20","6.20","6.20","5.06K","0.00%"
"11/26/2024","6.20","6.25","6.26","6.19","7.90K","-0.80%"
"11/25/2024","6.25","6.33","6.39","6.25","3.09K","-1.11%"
"11/22/2024","6.32","6.34","6.34","6.32","3.18K","-0.16%"
"11/21/2024","6.33","6.40","6.40","6.33","3.66K","0.00%"
"11/20/2024","6.33","6.36","6.39","6.10","27.30K","-0.31%"
"11/19/2024","6.35","6.36","6.36","6.30","14.56K","0.63%"
"11/18/2024","6.31","6.49","6.49","6.31","0.36K","0.16%"
"11/15/2024","6.30","6.52","6.52","6.30","20.78K","-3.23%"
"11/14/2024","6.51","6.60","6.60","6.51","4.47K","-1.36%"
"11/13/2024","6.60","6.59","6.60","6.45","17.51K","2.33%"
"11/12/2024","6.45","6.45","6.45","6.45","2.80K","0.00%"
"11/11/2024","6.45","6.49","6.51","6.40","73.48K","0.78%"
"11/08/2024","6.40","6.41","6.45","6.40","32.26K","0.95%"
"11/07/2024","6.34","6.35","6.35","6.34","1.63K","0.00%"
"11/06/2024","6.34","6.31","6.34","6.31","1.55K","0.48%"
"11/05/2024","6.31","6.24","6.31","6.23","10.69K","4.47%"
"11/04/2024","6.04","6.04","6.04","6.04","","0.00%"
"11/01/2024","6.04","6.17","6.19","6.04","7.07K","-1.31%"
"10/31/2024","6.12","6.13","6.17","6.12","1.34K","-0.49%"
"10/30/2024","6.15","6.20","6.20","6.13","0.99K","0.00%"
"10/29/2024","6.15","6.29","6.29","6.15","2.49K","0.33%"
"10/28/2024","6.13","6.10","6.24","6.10","32.20K","1.16%"
"10/25/2024","6.06","6.26","6.26","6.00","16.76K","-2.26%"
"10/24/2024","6.20","6.34","6.34","6.20","5.45K","-3.13%"
"10/23/2024","6.40","6.30","6.40","6.30","1.60K","0.63%"
"10/22/2024","6.36","6.36","6.36","6.36","","0.00%"
"10/21/2024","6.36","6.36","6.42","6.36","2.63K","0.00%"
"10/18/2024","6.36","6.45","6.45","6.30","16.19K","-1.70%"
"10/17/2024","6.47","6.47","6.47","6.47","0.00K","-1.22%"
"10/16/2024","6.55","6.55","6.55","6.55","0.02K","3.97%"
"10/15/2024","6.30","6.30","6.30","6.30","0.00K","0.80%"
"10/14/2024","6.25","6.35","6.35","6.25","2.65K","-1.11%"
"10/11/2024","6.32","6.38","6.38","6.32","2.21K","-0.94%"
"10/10/2024","6.38","6.42","6.42","6.38","2.14K","-1.69%"
"10/09/2024","6.49","6.49","6.49","6.49","","0.00%"
"10/08/2024","6.49","6.50","6.50","6.35","5.26K","-1.22%"
"10/07/2024","6.57","6.57","6.57","6.57","0.75K","-1.20%"
"10/04/2024","6.65","6.75","6.75","6.47","14.39K","-0.75%"
"10/03/2024","6.70","6.62","6.70","6.62","5.58K","0.60%"
"10/02/2024","6.66","6.72","6.72","6.66","1.50K","-1.33%"
"10/01/2024","6.75","6.89","6.89","6.75","1.70K","-0.74%"
"09/30/2024","6.80","6.95","6.95","6.74","5.74K","-2.16%"
"09/27/2024","6.95","7.00","7.00","6.95","2.36K","-0.71%"
"09/26/2024","7.00","6.97","7.00","6.97","1.69K","0.43%"
"09/25/2024","6.97","6.90","7.09","6.87","9.37K","-1.83%"
"09/24/2024","7.10","7.10","7.15","7.07","3.65K","-0.42%"
"09/23/2024","7.13","7.13","7.13","7.07","2.55K","0.28%"
"09/20/2024","7.11","7.00","7.24","7.00","1.80K","0.57%"
"09/19/2024","7.07","6.84","7.15","6.79","23.25K","4.43%"
"09/18/2024","6.77","6.65","6.79","6.64","16.24K","2.42%"
"09/17/2024","6.61","6.50","6.69","6.50","14.31K","1.07%"
"09/16/2024","6.54","6.49","6.54","6.48","","1.87%"
"09/13/2024","6.42","6.41","6.60","6.41","9.79K","0.16%"
"09/12/2024","6.41","6.42","6.42","6.41","2.95K","-0.62%"
"09/11/2024","6.45","6.51","6.51","6.45","5.44K","-0.77%"
"09/10/2024","6.50","6.50","6.64","6.45","14.08K","0.31%"
"09/09/2024","6.48","6.52","6.52","6.43","4.62K","0.00%"
"09/06/2024","6.48","6.41","6.50","6.40","11.45K","1.25%"
"09/05/2024","6.40","6.75","6.75","6.30","16.76K","-5.19%"
"09/04/2024","6.75","6.75","6.75","6.65","7.16K","0.00%"
"09/03/2024","6.75","6.80","6.80","6.75","2.30K","-0.74%"
"09/02/2024","6.80","6.86","6.86","6.80","4.37K","-0.73%"
"08/30/2024","6.85","6.86","6.86","6.85","5.54K","0.00%"
"08/29/2024","6.85","7.07","7.08","6.85","7.65K","-3.25%"
"08/28/2024","7.08","7.08","7.08","7.08","0.00K","2.91%"
"08/27/2024","6.88","6.88","6.88","6.88","","0.00%"
"08/23/2024","6.88","6.88","6.88","6.88","","0.00%"
"08/22/2024","6.88","7.09","7.09","6.88","6.61K","0.29%"
"08/21/2024","6.86","6.86","6.86","6.86","","0.00%"
"08/20/2024","6.86","7.00","7.00","6.86","6.90K","-3.24%"
"08/19/2024","7.09","7.09","7.09","7.09","0.00K","2.01%"
"08/16/2024","6.95","7.10","7.10","6.95","85.13K","-2.11%"
